include,text,sql,base_id,sql_id
,share students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year",1,1
,share students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,39
,share students attending private schools by district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, district",1,73
,share students attending private schools by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, school_level",1,102
,share students attending private schools in Tonkolili district by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year, school_level",1,131
,share Secondary students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Private"" group by year",1,160
,share Secondary students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,195
1,share Primary students attending private schools by district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Private"" group by year, district",1,227
,percentage students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year",1,1
,percentage students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,39
,percentage students attending private schools in each district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, district",1,73
,percentage students attending private schools by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, school_level",1,102
,percentage students attending private schools in Tonkolili district by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year, school_level",1,131
,percentage Secondary students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Private"" group by year",1,160
,percentage Secondary students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,195
,percentage Primary students attending private schools in each district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Private"" group by year, district",1,227
,show me the share students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year",1,1
,show me the share students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,39
,show me the share students attending private schools by district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, district",1,73
,show me the share students attending private schools by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, school_level",1,102
,show me the share students attending private schools in Tonkolili district by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year, school_level",1,131
,show me the share Secondary students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Private"" group by year",1,160
,show me the share Secondary students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,195
,show me the share Primary students attending private schools by district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Private"" group by year, district",1,227
,what is the share students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year",1,1
,what is the share students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,39
,what is the share students attending private schools by district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, district",1,73
,what is the share students attending private schools by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Private"" group by year, school_level",1,102
,what is the share students attending private schools in Tonkolili district by school level,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Tonkolili"" and  school_owner = ""Private"" group by year, school_level",1,131
,what is the share Secondary students attending private schools,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Private"" group by year",1,160
,what is the share Secondary students attending private schools in Tonkolili district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level in ('Juior Secondary', 'Senior Secondary') and a.district=""Tonkolili"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary') and b.district=""Tonkolili"" and  school_owner = ""Private"" group by year",1,195
,what is the share Primary students attending private schools by district,"select 'share students' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Private"" group by year, district",1,227
,how many students attend private schools,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year",2,2
,how many students attend private schools in Western Area Urban district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Western Area Urban"" and  school_owner = ""Private"" group by year",2,40
,how many students attend private schools by district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year, district",2,74
,how many students attend private schools by school level,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year, school_level",2,103
,how many students attend private schools in Western Area Urban district by school level,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Western Area Urban"" and  school_owner = ""Private"" group by year, school_level",2,132
,how many Senior Secondary students attend private schools,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Senior Secondary' and school_owner = ""Private"" group by year",2,161
,how many Senior Secondary students attend private schools in Western Area Urban district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Senior Secondary' and district=""Western Area Urban"" and  school_owner = ""Private"" group by year",2,196
,how many Junior Secondary students attend private schools by district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and school_owner = ""Private"" group by year, district",2,228
,how many students attend private schools in each district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year, district",2,74
,how many Junior Secondary students attend private schools in each district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and school_owner = ""Private"" group by year, district",2,228
,show me the how many students attend private schools,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year",2,2
,show me the how many students attend private schools in Western Area Urban district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Western Area Urban"" and  school_owner = ""Private"" group by year",2,40
,show me the how many students attend private schools by district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year, district",2,74
,show me the how many students attend private schools by school level,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Private"" group by year, school_level",2,103
,show me the how many students attend private schools in Western Area Urban district by school level,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Western Area Urban"" and  school_owner = ""Private"" group by year, school_level",2,132
,show me the how many Senior Secondary students attend private schools,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Senior Secondary' and school_owner = ""Private"" group by year",2,161
,show me the how many Senior Secondary students attend private schools in Western Area Urban district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Senior Secondary' and district=""Western Area Urban"" and  school_owner = ""Private"" group by year",2,196
,show me the how many Junior Secondary students attend private schools by district,"select 'total students' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and school_owner = ""Private"" group by year, district",2,228
,share students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year",3,3
,share students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,41
,share students attending religious schools by district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, district",3,75
,share students attending religious schools by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, school_level",3,104
,share students attending religious schools in Koinadugu district by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year, school_level",3,133
,share Primary students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Mission/religious group"" group by year",3,162
,share Primary students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,197
,share Pre-Primary students attending religious schools by district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Pre-Primary' and school_owner = ""Mission/religious group"" group by year, district",3,229
,percentage students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year",3,3
1,percentage students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,41
,percentage students attending religious schools in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, district",3,75
,percentage students attending religious schools by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, school_level",3,104
,percentage students attending religious schools in Koinadugu district by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year, school_level",3,133
,percentage Primary students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Mission/religious group"" group by year",3,162
,percentage Primary students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,197
,percentage Pre-Primary students attending religious schools in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Pre-Primary' and school_owner = ""Mission/religious group"" group by year, district",3,229
,show me the share students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year",3,3
,show me the share students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,41
,show me the share students attending religious schools by district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, district",3,75
,show me the share students attending religious schools by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, school_level",3,104
,show me the share students attending religious schools in Koinadugu district by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year, school_level",3,133
,show me the share Primary students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Mission/religious group"" group by year",3,162
,show me the share Primary students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,197
